source_filename,paper_title,model_or_method,metric,value,numeric_value,unit,dataset_or_case,evaluation_scope,data_resolution,condition,source_text_evidence,value_found_in_kb_text,value_found_in_source_chunk,source_chunk_scope,source_chunk_ids_checked,verification_status,raw_path,raw_value
1/37.Solar_Forecasting_using_ANN_with_Fuzzy_Logic_Pre-p.pdf,Solar Forecasting using ANN with Fuzzy Logic Pre-processing,,MAPE_model_mejorado_ANN_con_logica_difusa_y_factor_correccion,29.6%,29.6,%,,,,,,True,True,retrieved_by_03,d3d05d271be6db98_chunk_0001;d3d05d271be6db98_chunk_0003;d3d05d271be6db98_chunk_0004;d3d05d271be6db98_chunk_0009;d3d05d271be6db98_chunk_0011;d3d05d271be6db98_chunk_0018;d3d05d271be6db98_chunk_0019;d3d05d271be6db98_chunk_0021;d3d05d271be6db98_chunk_0023;d3d05d271be6db98_chunk_0024,confirmed_in_source_chunk,quantitative_results.MAPE_model_mejorado_ANN_con_logica_difusa_y_factor_correccion,"""29.6%"""
1/39.MLP_Back_Propagation_Artificial_Neural_Network_for.pdf,MLP Back Propagation Artificial Neural Network for Solar Irradiance Prediction,,MAPE,6.11%,6.11,%,,,,,,True,True,retrieved_by_03,696fb1df0f31a0b4_chunk_0003;696fb1df0f31a0b4_chunk_0007;696fb1df0f31a0b4_chunk_0008;696fb1df0f31a0b4_chunk_0013;696fb1df0f31a0b4_chunk_0014;696fb1df0f31a0b4_chunk_0015;696fb1df0f31a0b4_chunk_0016;696fb1df0f31a0b4_chunk_0019;696fb1df0f31a0b4_chunk_0020;696fb1df0f31a0b4_chunk_0021,confirmed_in_source_chunk,quantitative_results.MAPE,"""6.11%"""
1/39.MLP_Back_Propagation_Artificial_Neural_Network_for.pdf,MLP Back Propagation Artificial Neural Network for Solar Irradiance Prediction,,maximum_error,99%,99.0,%,,,,,,True,True,retrieved_by_03,696fb1df0f31a0b4_chunk_0003;696fb1df0f31a0b4_chunk_0007;696fb1df0f31a0b4_chunk_0008;696fb1df0f31a0b4_chunk_0013;696fb1df0f31a0b4_chunk_0014;696fb1df0f31a0b4_chunk_0015;696fb1df0f31a0b4_chunk_0016;696fb1df0f31a0b4_chunk_0019;696fb1df0f31a0b4_chunk_0020;696fb1df0f31a0b4_chunk_0021,confirmed_in_source_chunk,quantitative_results.maximum_error,"""99%"""
1/39.MLP_Back_Propagation_Artificial_Neural_Network_for.pdf,MLP Back Propagation Artificial Neural Network for Solar Irradiance Prediction,,percentage_predictions_error_less_than_10%,58.7%,58.7,%,,,,,,True,True,retrieved_by_03,696fb1df0f31a0b4_chunk_0003;696fb1df0f31a0b4_chunk_0007;696fb1df0f31a0b4_chunk_0008;696fb1df0f31a0b4_chunk_0013;696fb1df0f31a0b4_chunk_0014;696fb1df0f31a0b4_chunk_0015;696fb1df0f31a0b4_chunk_0016;696fb1df0f31a0b4_chunk_0019;696fb1df0f31a0b4_chunk_0020;696fb1df0f31a0b4_chunk_0021,confirmed_in_source_chunk,quantitative_results.percentage_predictions_error_less_than_10%,"""58.7%"""
1/39.MLP_Back_Propagation_Artificial_Neural_Network_for.pdf,MLP Back Propagation Artificial Neural Network for Solar Irradiance Prediction,,percentage_predictions_error_less_than_15%,68.6%,68.6,%,,,,,,True,True,retrieved_by_03,696fb1df0f31a0b4_chunk_0003;696fb1df0f31a0b4_chunk_0007;696fb1df0f31a0b4_chunk_0008;696fb1df0f31a0b4_chunk_0013;696fb1df0f31a0b4_chunk_0014;696fb1df0f31a0b4_chunk_0015;696fb1df0f31a0b4_chunk_0016;696fb1df0f31a0b4_chunk_0019;696fb1df0f31a0b4_chunk_0020;696fb1df0f31a0b4_chunk_0021,confirmed_in_source_chunk,quantitative_results.percentage_predictions_error_less_than_15%,"""68.6%"""
1/39.MLP_Back_Propagation_Artificial_Neural_Network_for.pdf,MLP Back Propagation Artificial Neural Network for Solar Irradiance Prediction,,percentage_predictions_error_less_than_5%,41.9%,41.9,%,,,,,,True,True,retrieved_by_03,696fb1df0f31a0b4_chunk_0003;696fb1df0f31a0b4_chunk_0007;696fb1df0f31a0b4_chunk_0008;696fb1df0f31a0b4_chunk_0013;696fb1df0f31a0b4_chunk_0014;696fb1df0f31a0b4_chunk_0015;696fb1df0f31a0b4_chunk_0016;696fb1df0f31a0b4_chunk_0019;696fb1df0f31a0b4_chunk_0020;696fb1df0f31a0b4_chunk_0021,confirmed_in_source_chunk,quantitative_results.percentage_predictions_error_less_than_5%,"""41.9%"""
1/41.1-s2.0-S2352484723011228-main.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante inteligencia artificial,ANN,MAE,0.00013,0.00013,,,,,,,True,True,retrieved_by_03,810f2eaf880fda56_chunk_0019;810f2eaf880fda56_chunk_0020;810f2eaf880fda56_chunk_0022;810f2eaf880fda56_chunk_0023;810f2eaf880fda56_chunk_0030;810f2eaf880fda56_chunk_0032;810f2eaf880fda56_chunk_0037;810f2eaf880fda56_chunk_0041;810f2eaf880fda56_chunk_0043;810f2eaf880fda56_chunk_0044,confirmed_in_source_chunk,quantitative_results.ANN.MAE,"""0.00013"""
1/41.1-s2.0-S2352484723011228-main.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante inteligencia artificial,ANN,MASE,0.29,0.29,,,,,,,True,True,retrieved_by_03,810f2eaf880fda56_chunk_0019;810f2eaf880fda56_chunk_0020;810f2eaf880fda56_chunk_0022;810f2eaf880fda56_chunk_0023;810f2eaf880fda56_chunk_0030;810f2eaf880fda56_chunk_0032;810f2eaf880fda56_chunk_0037;810f2eaf880fda56_chunk_0041;810f2eaf880fda56_chunk_0043;810f2eaf880fda56_chunk_0044,confirmed_in_source_chunk,quantitative_results.ANN.MASE,"""0.29"""
1/41.1-s2.0-S2352484723011228-main.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante inteligencia artificial,ANN,R²,0.99,0.99,,,,,,,True,True,retrieved_by_03,810f2eaf880fda56_chunk_0019;810f2eaf880fda56_chunk_0020;810f2eaf880fda56_chunk_0022;810f2eaf880fda56_chunk_0023;810f2eaf880fda56_chunk_0030;810f2eaf880fda56_chunk_0032;810f2eaf880fda56_chunk_0037;810f2eaf880fda56_chunk_0041;810f2eaf880fda56_chunk_0043;810f2eaf880fda56_chunk_0044,confirmed_in_source_chunk,quantitative_results.ANN.R2,"""0.99"""
1/42.1-s2.0-S0960148121015974-main.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante inteligencia artificial en dos sitios argelinos,,reported_best_model,Modelo ANN con variables ordinales y exógenas (ANNV1;V2;V3;V4 exo) para ambos sitios.,1.0,Modelo ANN con variables ordinales y exógenas (ANNV;V2;V3;V4 exo) para ambos sitios.,,,,,,True,True,retrieved_by_03,4fd069cf2f8ce2f2_chunk_0018;4fd069cf2f8ce2f2_chunk_0028;4fd069cf2f8ce2f2_chunk_0040;4fd069cf2f8ce2f2_chunk_0053;4fd069cf2f8ce2f2_chunk_0057;4fd069cf2f8ce2f2_chunk_0060;4fd069cf2f8ce2f2_chunk_0065;4fd069cf2f8ce2f2_chunk_0066;4fd069cf2f8ce2f2_chunk_0070;4fd069cf2f8ce2f2_chunk_0073,confirmed_in_source_chunk,quantitative_results.reported_best_model,"""Modelo ANN con variables ordinales y exógenas (ANNV1;V2;V3;V4 exo) para ambos sitios."""
1/43.1-s2.0-S1877050917318392-main.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante redes neuronales profundas,DRNN_LSTM,RMSE,0.068,0.068,,,,,,,True,True,retrieved_by_03,a6d33f85b06e45e7_chunk_0003;a6d33f85b06e45e7_chunk_0008;a6d33f85b06e45e7_chunk_0010;a6d33f85b06e45e7_chunk_0011;a6d33f85b06e45e7_chunk_0012;a6d33f85b06e45e7_chunk_0021;a6d33f85b06e45e7_chunk_0023;a6d33f85b06e45e7_chunk_0026;a6d33f85b06e45e7_chunk_0029;a6d33f85b06e45e7_chunk_0031,confirmed_in_source_chunk,quantitative_results.DRNN_LSTM.RMSE,0.068
1/43.1-s2.0-S1877050917318392-main.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante redes neuronales profundas,FNN,RMSE,0.16,0.16,,,,,,,True,True,retrieved_by_03,a6d33f85b06e45e7_chunk_0003;a6d33f85b06e45e7_chunk_0008;a6d33f85b06e45e7_chunk_0010;a6d33f85b06e45e7_chunk_0011;a6d33f85b06e45e7_chunk_0012;a6d33f85b06e45e7_chunk_0021;a6d33f85b06e45e7_chunk_0023;a6d33f85b06e45e7_chunk_0026;a6d33f85b06e45e7_chunk_0029;a6d33f85b06e45e7_chunk_0031,confirmed_in_source_chunk,quantitative_results.FNN.RMSE,0.16
1/43.1-s2.0-S1877050917318392-main.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante redes neuronales profundas,SVR,RMSE,0.11,0.11,,,,,,,True,True,retrieved_by_03,a6d33f85b06e45e7_chunk_0003;a6d33f85b06e45e7_chunk_0008;a6d33f85b06e45e7_chunk_0010;a6d33f85b06e45e7_chunk_0011;a6d33f85b06e45e7_chunk_0012;a6d33f85b06e45e7_chunk_0021;a6d33f85b06e45e7_chunk_0023;a6d33f85b06e45e7_chunk_0026;a6d33f85b06e45e7_chunk_0029;a6d33f85b06e45e7_chunk_0031,confirmed_in_source_chunk,quantitative_results.SVR.RMSE,0.11
1/44.qing2018.pdf,Predicción de irradiancia solar horaria mediante redes neuronales LSTM,,main_result,"El modelo LSTM superó consistentemente a BPNN, LR y Persistence en términos de RMSE, mostrando mejoras significativas en precisión y estabilidad en múltiples experimentos y datasets, incluyendo un dataset grande de 11 años.",11.0,"El modelo LSTM superó consistentemente a BPNN, LR y Persistence en términos de RMSE, mostrando mejoras significativas en precisión y estabilidad en múltiples experimentos y datasets, incluyendo un dataset grande de  años.",,,,,,True,True,retrieved_by_03,dee451f81702178f_chunk_0019;dee451f81702178f_chunk_0020;dee451f81702178f_chunk_0022;dee451f81702178f_chunk_0034;dee451f81702178f_chunk_0035;dee451f81702178f_chunk_0039;dee451f81702178f_chunk_0040;dee451f81702178f_chunk_0041;dee451f81702178f_chunk_0042;dee451f81702178f_chunk_0043,confirmed_in_source_chunk,quantitative_results.main_result,"""El modelo LSTM superó consistentemente a BPNN, LR y Persistence en términos de RMSE, mostrando mejoras significativas en precisión y estabilidad en múltiples experimentos y datasets, incluyendo un dataset grande de 11 años."""
1/45.ashfaq2020.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante LSTM optimizado,modelo_con_dataset_55_meses,MAE,17.101,17.101,,,,,,,True,True,retrieved_by_03,057900c1e95adcd0_chunk_0013;057900c1e95adcd0_chunk_0015;057900c1e95adcd0_chunk_0019;057900c1e95adcd0_chunk_0022;057900c1e95adcd0_chunk_0024;057900c1e95adcd0_chunk_0025;057900c1e95adcd0_chunk_0026;057900c1e95adcd0_chunk_0028;057900c1e95adcd0_chunk_0029;057900c1e95adcd0_chunk_0030,confirmed_in_source_chunk,quantitative_results.modelo_con_dataset_55_meses.MAE,17.101
1/45.ashfaq2020.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante LSTM optimizado,modelo_con_dataset_55_meses,R²,0.975,0.975,,,,,,,True,True,retrieved_by_03,057900c1e95adcd0_chunk_0013;057900c1e95adcd0_chunk_0015;057900c1e95adcd0_chunk_0019;057900c1e95adcd0_chunk_0022;057900c1e95adcd0_chunk_0024;057900c1e95adcd0_chunk_0025;057900c1e95adcd0_chunk_0026;057900c1e95adcd0_chunk_0028;057900c1e95adcd0_chunk_0029;057900c1e95adcd0_chunk_0030,confirmed_in_source_chunk,quantitative_results.modelo_con_dataset_55_meses.R2,0.975
1/45.ashfaq2020.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante LSTM optimizado,modelo_con_dataset_55_meses,RMSE,41.873,41.873,,,,,,,True,True,retrieved_by_03,057900c1e95adcd0_chunk_0013;057900c1e95adcd0_chunk_0015;057900c1e95adcd0_chunk_0019;057900c1e95adcd0_chunk_0022;057900c1e95adcd0_chunk_0024;057900c1e95adcd0_chunk_0025;057900c1e95adcd0_chunk_0026;057900c1e95adcd0_chunk_0028;057900c1e95adcd0_chunk_0029;057900c1e95adcd0_chunk_0030,confirmed_in_source_chunk,quantitative_results.modelo_con_dataset_55_meses.RMSE,41.873
1/45.ashfaq2020.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante LSTM optimizado,primer_modelo,MAE,17.591,17.591,,,,,,,True,True,retrieved_by_03,057900c1e95adcd0_chunk_0013;057900c1e95adcd0_chunk_0015;057900c1e95adcd0_chunk_0019;057900c1e95adcd0_chunk_0022;057900c1e95adcd0_chunk_0024;057900c1e95adcd0_chunk_0025;057900c1e95adcd0_chunk_0026;057900c1e95adcd0_chunk_0028;057900c1e95adcd0_chunk_0029;057900c1e95adcd0_chunk_0030,confirmed_in_source_chunk,quantitative_results.primer_modelo.MAE,17.591
1/45.ashfaq2020.pdf,Pronóstico de irradiancia solar y generación de energía fotovoltaica mediante LSTM optimizado,primer_modelo,RMSE,47.006,47.006,,,,,,,True,True,retrieved_by_03,057900c1e95adcd0_chunk_0013;057900c1e95adcd0_chunk_0015;057900c1e95adcd0_chunk_0019;057900c1e95adcd0_chunk_0022;057900c1e95adcd0_chunk_0024;057900c1e95adcd0_chunk_0025;057900c1e95adcd0_chunk_0026;057900c1e95adcd0_chunk_0028;057900c1e95adcd0_chunk_0029;057900c1e95adcd0_chunk_0030,confirmed_in_source_chunk,quantitative_results.primer_modelo.RMSE,47.006
1/46.energies-12-00215-v2.pdf,Predicción de potencia fotovoltaica mediante modelos de deep learning usando variables meteorológicas,results,improvement_vs_ANN,reducción del MAE hasta en un 80%,80.0,%,,,,,,True,True,retrieved_by_03,8fc932657e22ee26_chunk_0023;8fc932657e22ee26_chunk_0026;8fc932657e22ee26_chunk_0044;8fc932657e22ee26_chunk_0045;8fc932657e22ee26_chunk_0050;8fc932657e22ee26_chunk_0052;8fc932657e22ee26_chunk_0053;8fc932657e22ee26_chunk_0057;8fc932657e22ee26_chunk_0059;8fc932657e22ee26_chunk_0064,confirmed_in_source_chunk,quantitative_results.results.LSTM.improvement_vs_ANN,"""reducción del MAE hasta en un 80%"""
1/46.energies-12-00215-v2.pdf,Predicción de potencia fotovoltaica mediante modelos de deep learning usando variables meteorológicas,results,improvement_vs_otros_modelos,mejora entre 53% y 61% frente a modelos convencionales y otras variantes de deep learning,53.0,%,,,,,,True,True,retrieved_by_03,8fc932657e22ee26_chunk_0023;8fc932657e22ee26_chunk_0026;8fc932657e22ee26_chunk_0044;8fc932657e22ee26_chunk_0045;8fc932657e22ee26_chunk_0050;8fc932657e22ee26_chunk_0052;8fc932657e22ee26_chunk_0053;8fc932657e22ee26_chunk_0057;8fc932657e22ee26_chunk_0059;8fc932657e22ee26_chunk_0064,confirmed_in_source_chunk,quantitative_results.results.LSTM.improvement_vs_otros_modelos,"""mejora entre 53% y 61% frente a modelos convencionales y otras variantes de deep learning"""
1/47.1-s2.0-S0306261922010170-main.pdf,Optimized stacked BiLSTM/LSTM hybrid model for solar irradiance and PV power forecasting,,R²,de 0.97 a 0.99,0.97,de  a 0.99,,,,,,True,True,retrieved_by_03,fe601d3747bcbeae_chunk_0015;fe601d3747bcbeae_chunk_0019;fe601d3747bcbeae_chunk_0021;fe601d3747bcbeae_chunk_0031;fe601d3747bcbeae_chunk_0047;fe601d3747bcbeae_chunk_0052;fe601d3747bcbeae_chunk_0053;fe601d3747bcbeae_chunk_0054;fe601d3747bcbeae_chunk_0064;fe601d3747bcbeae_chunk_0072,confirmed_in_source_chunk,quantitative_results.R2,"""de 0.97 a 0.99"""
1/47.1-s2.0-S0306261922010170-main.pdf,Optimized stacked BiLSTM/LSTM hybrid model for solar irradiance and PV power forecasting,,RMSE,entre 10.55 y 58.26,10.55,entre  y 58.26,,,,,,True,True,retrieved_by_03,fe601d3747bcbeae_chunk_0015;fe601d3747bcbeae_chunk_0019;fe601d3747bcbeae_chunk_0021;fe601d3747bcbeae_chunk_0031;fe601d3747bcbeae_chunk_0047;fe601d3747bcbeae_chunk_0052;fe601d3747bcbeae_chunk_0053;fe601d3747bcbeae_chunk_0054;fe601d3747bcbeae_chunk_0064;fe601d3747bcbeae_chunk_0072,confirmed_in_source_chunk,quantitative_results.RMSE,"""entre 10.55 y 58.26"""
1/48.1-s2.0-S0960148122015567-main.pdf,Short-term solar radiation forecasting with a novel image processing-based deep learning approach,,main_result_summary,"El enfoque desarrollado mostró mejores resultados en términos de RMSE para la predicción de radiación solar a 5 minutos en comparación con otros métodos reportados en la literatura, aunque la comparación directa es difícil debido a las condiciones meteorológicas regionales.",5.0,"El enfoque desarrollado mostró mejores resultados en términos de RMSE para la predicción de radiación solar a  minutos en comparación con otros métodos reportados en la literatura, aunque la comparación directa es difícil debido a las condiciones meteorológicas regionales.",,,,,,True,True,retrieved_by_03,fa4c26901738dbee_chunk_0049;fa4c26901738dbee_chunk_0072;fa4c26901738dbee_chunk_0073;fa4c26901738dbee_chunk_0077;fa4c26901738dbee_chunk_0078;fa4c26901738dbee_chunk_0081;fa4c26901738dbee_chunk_0086;fa4c26901738dbee_chunk_0096;fa4c26901738dbee_chunk_0097;fa4c26901738dbee_chunk_0098,confirmed_in_source_chunk,quantitative_results.main_result_summary,"""El enfoque desarrollado mostró mejores resultados en términos de RMSE para la predicción de radiación solar a 5 minutos en comparación con otros métodos reportados en la literatura, aunque la comparación directa es difícil debido a las condiciones meteorológicas regionales."""
1/48.1-s2.0-S0960148122015567-main.pdf,Short-term solar radiation forecasting with a novel image processing-based deep learning approach,metric_names,metric_names[0],RMSE,,,,,,,,True,True,retrieved_by_03,fa4c26901738dbee_chunk_0049;fa4c26901738dbee_chunk_0072;fa4c26901738dbee_chunk_0073;fa4c26901738dbee_chunk_0077;fa4c26901738dbee_chunk_0078;fa4c26901738dbee_chunk_0081;fa4c26901738dbee_chunk_0086;fa4c26901738dbee_chunk_0096;fa4c26901738dbee_chunk_0097;fa4c26901738dbee_chunk_0098,confirmed_in_source_chunk,quantitative_results.metric_names[0],"""RMSE"""
1/48.1-s2.0-S0960148122015567-main.pdf,Short-term solar radiation forecasting with a novel image processing-based deep learning approach,metric_names,metric_names[1],MAE,,,,,,,,True,True,retrieved_by_03,fa4c26901738dbee_chunk_0049;fa4c26901738dbee_chunk_0072;fa4c26901738dbee_chunk_0073;fa4c26901738dbee_chunk_0077;fa4c26901738dbee_chunk_0078;fa4c26901738dbee_chunk_0081;fa4c26901738dbee_chunk_0086;fa4c26901738dbee_chunk_0096;fa4c26901738dbee_chunk_0097;fa4c26901738dbee_chunk_0098,confirmed_in_source_chunk,quantitative_results.metric_names[1],"""MAE"""
1/48.1-s2.0-S0960148122015567-main.pdf,Short-term solar radiation forecasting with a novel image processing-based deep learning approach,metric_names,metric_names[2],MAPE,,,,,,,,True,True,retrieved_by_03,fa4c26901738dbee_chunk_0049;fa4c26901738dbee_chunk_0072;fa4c26901738dbee_chunk_0073;fa4c26901738dbee_chunk_0077;fa4c26901738dbee_chunk_0078;fa4c26901738dbee_chunk_0081;fa4c26901738dbee_chunk_0086;fa4c26901738dbee_chunk_0096;fa4c26901738dbee_chunk_0097;fa4c26901738dbee_chunk_0098,confirmed_in_source_chunk,quantitative_results.metric_names[2],"""MAPE"""
1/48.1-s2.0-S0960148122015567-main.pdf,Short-term solar radiation forecasting with a novel image processing-based deep learning approach,metric_names,metric_names[3],r2,2.0,r,,,,,,True,True,retrieved_by_03,fa4c26901738dbee_chunk_0049;fa4c26901738dbee_chunk_0072;fa4c26901738dbee_chunk_0073;fa4c26901738dbee_chunk_0077;fa4c26901738dbee_chunk_0078;fa4c26901738dbee_chunk_0081;fa4c26901738dbee_chunk_0086;fa4c26901738dbee_chunk_0096;fa4c26901738dbee_chunk_0097;fa4c26901738dbee_chunk_0098,confirmed_in_source_chunk,quantitative_results.metric_names[3],"""r2"""
